Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (3 Hz),WE current filtered [A] (2 Hz),WE current filtered [A] (1 Hz)
-0.3282529999999999,1.679555e-06,5.89747e-07,-1.089807e-06,1.7147658357688397e-06,1.7894716284953019e-06,1.8347279919408655e-06
-0.327179,1.757429e-06,6.53622e-07,-1.103807e-06,1.7155122501638588e-06,1.7941223063540296e-06,1.8371351736662301e-06
-0.326104,1.673867e-06,8.09808e-07,-8.64058e-07,1.7194984781995493e-06,1.799008959843161e-06,1.8395611096960618e-06
-0.32503,1.639742e-06,8.74558e-07,-7.65184e-07,1.7267635350068914e-06,1.804129144452668e-06,1.842021161731069e-06
-0.3239559999999999,1.711492e-06,8.45683e-07,-8.658079999999999e-07,1.7372274372131524e-06,1.8094771853986873e-06,1.8445308526756038e-06
-0.322881,1.699242e-06,7.66934e-07,-9.32308e-07,1.75069421450531e-06,1.815044367396972e-06,1.8471058191944742e-06
-0.321807,1.605617e-06,6.48372e-07,-9.57245e-07,1.7668593059042081e-06,1.8208192445316349e-06,1.8497617654052461e-06
-0.3207319999999999,1.579805e-06,6.06372e-07,-9.73433e-07,1.7853210665737988e-06,1.8267880608199843e-06,1.8525144177730736e-06
-0.319658,1.675179e-06,6.65434e-07,-1.009745e-06,1.8055959609582474e-06,1.8329352677988012e-06,1.855379481262917e-06
-0.318583,1.781492e-06,7.42434e-07,-1.039057e-06,1.8271368786565964e-06,1.8392441215743512e-06,1.8583725967924417e-06
-0.317509,1.889991e-06,8.12871e-07,-1.07712e-06,1.8493538861381113e-06,1.845697338441382e-06,1.8615093000180926e-06
-0.316434,1.960428e-06,8.61871e-07,-1.098557e-06,1.871636626962808e-06,1.8522777855522653e-06,1.864804981477019e-06
-0.31536,1.995866e-06,8.95121e-07,-1.100745e-06,1.8933775126613217e-06,1.8589691813660152e-06,1.8682748480988583e-06
-0.314285,2.005053e-06,9.06058e-07,-1.098995e-06,1.9139948114075462e-06,1.8657567798488774e-06,1.8719338860940053e-06
-0.3132109999999999,2.03699e-06,9.27495e-07,-1.109495e-06,1.9329547447370416e-06,1.8726280126901358e-06,1.8757968252189916e-06
-0.3121359999999999,2.041365e-06,9.39745e-07,-1.10162e-06,1.9497917432392014e-06,1.8795730651251893e-06,1.8798781044149292e-06
-0.311062,2.053615e-06,9.48495e-07,-1.10512e-06,1.9641260872210704e-06,1.8865853632504416e-06,1.8841918388116453e-06
-0.309987,2.069803e-06,9.62495e-07,-1.107307e-06,1.9756782631058978e-06,1.8936619538581927e-06,1.8887517880879881e-06
-0.308913,2.080303e-06,9.74308e-07,-1.105995e-06,1.9842794954202605e-06,1.900803761677071e-06,1.8935713261777341e-06
-0.307838,2.085115e-06,9.77808e-07,-1.107307e-06,1.9898780620999144e-06,1.9080157133227635e-06,1.898663412310401e-06
-0.306764,2.092115e-06,9.7912e-07,-1.112995e-06,1.9925411619894367e-06,1.9153067220840216e-06,1.9040405633769404e-06
-0.305689,2.092115e-06,9.82183e-07,-1.109932e-06,1.9924522723473026e-06,1.9226895327230607e-06,1.909714827611552e-06
-0.3046149999999999,2.093865e-06,9.8787e-07,-1.105995e-06,1.989904105406694e-06,1.930180430585983e-06,1.9156977595826e-06
-0.30354,2.092553e-06,9.91808e-07,-1.100745e-06,1.9852874410271423e-06,1.937798824323611e-06,1.922000396487608e-06
-0.302466,2.07374e-06,9.92245e-07,-1.081495e-06,1.9790762715509863e-06,1.945566716241987e-06,1.9286332357494006e-06
-0.3013909999999999,2.054928e-06,9.88308e-07,-1.06662e-06,1.971809839392691e-06,1.953508078563143e-06,1.93560621391248e-06
-0.300317,2.012491e-06,9.8612e-07,-1.02637e-06,1.964072271791041e-06,1.961648157514544e-06,1.942928686840471e-06
-0.299242,1.945553e-06,9.5987e-07,-9.85683e-07,1.9564706147045215e-06,1.970012730023528e-06,1.950609411216832e-06
-0.298168,1.848429e-06,9.28808e-07,-9.1962e-07,1.9496121334364682e-06,1.978627339730566e-06,1.9586565273517736e-06
-0.2970939999999999,1.702304e-06,8.69746e-07,-8.32558e-07,1.9440817763426796e-06,1.9875165399369213e-06,1.967077543298418e-06
-0.296019,1.610867e-06,8.18558e-07,-7.92308e-07,1.940420686423731e-06,1.9967031708915815e-06,1.975879320280509e-06
-0.294945,1.762242e-06,7.848709999999999e-07,-9.7737e-07,1.9391065927007525e-06,2.0062076974791744e-06,1.985068059432446e-06
-0.2938699999999999,1.924116e-06,7.68246e-07,-1.155869e-06,1.940536821526127e-06,2.016047630950694e-06,1.994649289850076e-06
-0.292796,1.961741e-06,8.38683e-07,-1.123057e-06,1.945014543975163e-06,2.026237054982114e-06,2.0046278579476744e-06
-0.291721,1.861991e-06,9.86995e-07,-8.74996e-07,1.9527387289690424e-06,2.0367862722603134e-06,2.015007918113057e-06
-0.290647,1.862866e-06,1.032495e-06,-8.30371e-07,1.9637981133460214e-06,2.0477015832146896e-06,2.025792924648963e-06
-0.289572,1.965678e-06,1.02287e-06,-9.42808e-07,1.9781693384965145e-06,2.05898520364979e-06,2.0369856249849677e-06
-0.288498,1.965241e-06,9.46308e-07,-1.018932e-06,1.9957192443782567e-06,2.0706353230629833e-06,2.048588054140347e-06
-0.287423,1.895241e-06,8.286209999999999e-07,-1.06662e-06,2.0162111597155965e-06,2.0826463004968263e-06,2.0606015304146388e-06
-0.2863489999999999,1.909241e-06,8.146209999999999e-07,-1.09462e-06,2.0393148852789565e-06,2.0950089900149553e-06,2.0730266522792494e-06
-0.2852739999999999,2.025178e-06,8.82871e-07,-1.142307e-06,2.064619938662561e-06,2.1077111834397064e-06,2.085863296440444e-06
