sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.359413;2.00592e-07;6.354659600000001e-08;-1.37046e-07
-0.35833899999999996;1.99499e-07;6.343722e-08;-1.36061e-07
-0.35726399999999997;1.98842e-07;6.3765344e-08;-1.3507699999999999e-07
-0.35619;1.97639e-07;6.354659600000001e-08;-1.34093e-07
-0.35511499999999996;1.96874e-07;6.387471600000001e-08;-1.3299899999999999e-07
-0.354041;1.96108e-07;6.3984092e-08;-1.32124e-07
-0.352967;1.95014e-07;6.387471600000001e-08;-1.3114e-07
-0.351892;1.94249e-07;6.4093464e-08;-1.30155e-07
-0.35081799999999996;1.93592e-07;6.420284000000001e-08;-1.2939e-07
-0.34974299999999997;1.9228e-07;6.3984092e-08;-1.28296e-07
-0.348669;1.91733e-07;6.442158800000001e-08;-1.27311e-07
-0.34759399999999996;1.90639e-07;6.420284000000001e-08;-1.26436e-07
-0.34652;1.89874e-07;6.4312212e-08;-1.25561e-07
-0.345445;1.8932699999999999e-07;6.442158800000001e-08;-1.24905e-07
-0.344371;1.88889e-07;6.464034e-08;-1.24249e-07
-0.343296;1.87796e-07;6.442158800000001e-08;-1.23374e-07
-0.34222199999999997;1.8703e-07;6.464034e-08;-1.2239e-07
-0.341147;1.86702e-07;6.464034e-08;-1.22061e-07
-0.34007299999999996;1.85389e-07;6.464034e-08;-1.20749e-07
-0.33899799999999997;1.84733e-07;6.464034e-08;-1.20093e-07
-0.337924;1.84296e-07;6.474971600000001e-08;-1.19546e-07
-0.336849;1.8342099999999999e-07;6.474971600000001e-08;-1.1867099999999999e-07
-0.335775;1.82764e-07;6.464034e-08;-1.1812399999999999e-07
-0.3347;1.82108e-07;6.474971600000001e-08;-1.17358e-07
-0.333626;1.8178e-07;6.4859088e-08;-1.1692099999999999e-07
-0.332551;1.80905e-07;6.474971600000001e-08;-1.16155e-07
-0.33147699999999997;1.80358e-07;6.4968464e-08;-1.1539e-07
-0.330402;1.79921e-07;6.4859088e-08;-1.15061e-07
-0.329328;1.79155e-07;6.4968464e-08;-1.14186e-07
-0.32825299999999996;1.78499e-07;6.4968464e-08;-1.1353e-07
-0.327179;1.7784199999999999e-07;6.4859088e-08;-1.12983e-07
-0.326104;1.77624e-07;6.4859088e-08;-1.12765e-07
-0.32503;1.76639e-07;6.4859088e-08;-1.1178e-07
-0.32395599999999997;1.76749e-07;6.4968464e-08;-1.1178e-07
-0.322881;1.75983e-07;6.507783600000001e-08;-1.10905e-07
-0.321807;1.7576399999999998e-07;6.4968464e-08;-1.10796e-07
-0.32073199999999996;1.75108e-07;6.4968464e-08;-1.1013999999999999e-07
-0.319658;1.74889e-07;6.5187212e-08;-1.09702e-07
-0.318583;1.74561e-07;6.5296584e-08;-1.0926499999999999e-07
-0.317509;1.74233e-07;6.5624704e-08;-1.08608e-07
-0.316434;1.7401399999999999e-07;6.5515332e-08;-1.08499e-07
-0.31536;1.73577e-07;6.5734088e-08;-1.07843e-07
-0.314285;1.73358e-07;6.5734088e-08;-1.07624e-07
-0.31321099999999996;1.72921e-07;6.584346e-08;-1.07077e-07
-0.31213599999999997;1.72811e-07;6.595283600000001e-08;-1.06858e-07
-0.311062;1.72592e-07;6.6171584e-08;-1.06421e-07
-0.309987;1.72374e-07;6.6390328e-08;-1.05983e-07
-0.308913;1.72374e-07;6.660907600000001e-08;-1.05765e-07
-0.307838;1.7226399999999999e-07;6.660907600000001e-08;-1.05655e-07
-0.306764;1.71827e-07;6.6718452e-08;-1.05108e-07
-0.305689;1.72046e-07;6.7265328e-08;-1.0478e-07
-0.30461499999999997;1.7160799999999998e-07;6.7265328e-08;-1.04343e-07
