sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.255189;2.0267e-07;7.3718424e-08;-1.28952e-07
-0.254114;2.04749e-07;7.481216800000001e-08;-1.29936e-07
-0.25304;2.06936e-07;7.6124664e-08;-1.30811e-07
-0.251965;2.08577e-07;7.689028e-08;-1.31686e-07
-0.250891;2.10655e-07;7.787465600000001e-08;-1.3278e-07
-0.24981599999999998;2.12842e-07;7.907777600000001e-08;-1.33765e-07
-0.248742;2.14811e-07;7.995276800000001e-08;-1.34858e-07
-0.247667;2.1677999999999999e-07;8.1046512e-08;-1.35733e-07
-0.24659299999999998;2.18858e-07;8.181213600000001e-08;-1.37046e-07
-0.245518;2.20936e-07;8.2687128e-08;-1.38249e-07
-0.244444;2.22905e-07;8.3452752e-08;-1.39452e-07
-0.243369;2.24983e-07;8.421837600000001e-08;-1.40764e-07
-0.24229499999999998;2.26842e-07;8.498399200000001e-08;-1.41858e-07
-0.24122;2.28811e-07;8.5640248e-08;-1.43171e-07
-0.240146;2.30889e-07;8.6296496e-08;-1.44593e-07
-0.23907199999999998;2.32858e-07;8.6952736e-08;-1.45905e-07
-0.237997;2.34389e-07;8.739023200000001e-08;-1.46999e-07
-0.236923;2.36467e-07;8.771836e-08;-1.48749e-07
-0.235848;2.38655e-07;8.8483976e-08;-1.50171e-07
-0.23477399999999998;2.4029499999999997e-07;8.881210400000001e-08;-1.51483e-07
-0.233699;2.42155e-07;8.9030856e-08;-1.53124e-07
-0.232625;2.44014e-07;8.9358976e-08;-1.54655e-07
-0.23154999999999998;2.45655e-07;8.946835200000001e-08;-1.56186e-07
-0.230476;2.47514e-07;8.979648000000001e-08;-1.57718e-07
-0.229401;2.49264e-07;8.9905856e-08;-1.59358e-07
-0.228327;2.50905e-07;9.012460000000001e-08;-1.6078e-07
-0.22725199999999998;2.52217e-07;9.001522400000001e-08;-1.6220199999999999e-07
-0.226178;2.54076e-07;9.012460000000001e-08;-1.6395199999999998e-07
-0.225103;2.55717e-07;9.012460000000001e-08;-1.65593e-07
-0.22402899999999998;2.57139e-07;9.012460000000001e-08;-1.67014e-07
-0.22295399999999999;2.5878e-07;8.979648000000001e-08;-1.68983e-07
-0.22188;2.60201e-07;8.9687096e-08;-1.70514e-07
-0.220805;2.6184199999999997e-07;8.9577728e-08;-1.7226399999999999e-07
-0.21973099999999998;2.63373e-07;8.946835200000001e-08;-1.73905e-07
-0.218656;2.64686e-07;8.924960000000001e-08;-1.7543599999999998e-07
-0.217582;2.66108e-07;8.892148000000001e-08;-1.77186e-07
-0.21650699999999998;2.67311e-07;8.881210400000001e-08;-1.78499e-07
-0.21543299999999999;2.68951e-07;8.859336000000001e-08;-1.80358e-07
-0.214358;2.6982599999999997e-07;8.826523200000001e-08;-1.81561e-07
-0.213284;2.71139e-07;8.793711200000001e-08;-1.83202e-07
-0.21220999999999998;2.7190499999999997e-07;8.760899200000001e-08;-1.84296e-07
-0.211135;2.73108e-07;8.7280856e-08;-1.85827e-07
-0.210061;2.73873e-07;8.6843368e-08;-1.8703e-07
-0.20898599999999998;2.74639e-07;8.640587200000001e-08;-1.88233e-07
-0.20791199999999999;2.75623e-07;8.607774400000001e-08;-1.89546e-07
-0.206837;2.75951e-07;8.553087200000001e-08;-1.90421e-07
-0.205763;2.76717e-07;8.5093368e-08;-1.91624e-07
-0.20468799999999998;2.76826e-07;8.454649600000001e-08;-1.9228e-07
-0.203614;2.77264e-07;8.4109008e-08;-1.9315499999999998e-07
-0.202539;2.77701e-07;8.367150400000001e-08;-1.9403e-07
-0.20146499999999998;2.77811e-07;8.301525600000001e-08;-1.94796e-07
-0.20038999999999998;2.78139e-07;8.257776e-08;-1.9556099999999999e-07
-0.199316;2.7792e-07;8.2030888e-08;-1.95889e-07
-0.198241;2.78248e-07;8.1484008e-08;-1.96764e-07
-0.19716699999999998;2.7803e-07;8.093714400000001e-08;-1.97092e-07
-0.196092;2.77811e-07;8.049964e-08;-1.9731099999999999e-07
-0.195018;2.77483e-07;7.995276800000001e-08;-1.9753e-07
