Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (15 Hz),WE current filtered [A] (5 Hz),WE current filtered [A] (2 Hz)
-0.3927219999999999,1.938116e-06,8.47871e-07,-1.090245e-06,1.8972928574195592e-06,1.7591792234946894e-06,1.9190438956639733e-06
-0.391648,1.955616e-06,8.04996e-07,-1.150619e-06,1.8937405934811445e-06,1.7825536935523908e-06,1.916503279190577e-06
-0.390573,1.865054e-06,6.61497e-07,-1.203557e-06,1.8687059622176348e-06,1.8114790963135724e-06,1.9145982257121324e-06
-0.389499,1.803804e-06,5.949969999999999e-07,-1.208807e-06,1.8458625232269823e-06,1.844662279602548e-06,1.91328414517567e-06
-0.388424,1.830491e-06,6.04184e-07,-1.226307e-06,1.846801398093054e-06,1.8807822723907557e-06,1.9125100836474654e-06
-0.3873499999999999,1.882116e-06,6.57997e-07,-1.224119e-06,1.8794278685941293e-06,1.9185335249472556e-06,1.9122201185625286e-06
-0.386275,1.953866e-06,7.26246e-07,-1.227619e-06,1.93449014840047e-06,1.9566508580632806e-06,1.9123548096943053e-06
-0.3852009999999999,2.009865e-06,7.79621e-07,-1.230244e-06,1.992812284627047e-06,1.993919822798273e-06,1.9128526698744896e-06
-0.3841259999999999,2.032178e-06,8.22933e-07,-1.209244e-06,2.0374979880649516e-06,2.029177864902847e-06,1.913651619264974e-06
-0.383052,2.050553e-06,8.52683e-07,-1.197869e-06,2.062379939301996e-06,2.061312385738447e-06,1.9146903877327708e-06
-0.3819769999999999,2.06499e-06,8.77621e-07,-1.187369e-06,2.072136793860174e-06,2.089261682773246e-06,1.9159098316164447e-06
-0.380903,2.079428e-06,8.9862e-07,-1.180807e-06,2.076111411305563e-06,2.112023962412226e-06,1.9172541338687837e-06
-0.3798289999999999,2.087303e-06,9.09995e-07,-1.177307e-06,2.081381888529388e-06,2.1286782023969946e-06,1.9186718601428465e-06
-0.378754,2.090803e-06,9.23995e-07,-1.166807e-06,2.0894697730191662e-06,2.1384186550488583e-06,1.9201168477516556e-06
-0.3776799999999999,2.091678e-06,9.24433e-07,-1.167244e-06,2.0975734726739248e-06,2.1406023464607856e-06,1.9215489094469945e-06
-0.3766049999999999,2.103053e-06,9.32308e-07,-1.170744e-06,2.1023974270662906e-06,2.1348062572947336e-06,1.922934339485243e-06
-0.375531,2.102615e-06,9.32308e-07,-1.170307e-06,2.1036768462795572e-06,2.120888278556152e-06,1.9242462153221696e-06
-0.3744559999999999,2.114428e-06,9.3362e-07,-1.180807e-06,2.1049450299453063e-06,2.0990438989741683e-06,1.9254644943406925e-06
-0.373382,2.11399e-06,9.3887e-07,-1.175119e-06,2.110456093029466e-06,2.0698493017924722e-06,1.9265759110971795e-06
-0.372307,2.120115e-06,9.40183e-07,-1.179932e-06,2.119408651813978e-06,2.0342814920038175e-06,1.927573686500279e-06
-0.371233,2.101303e-06,9.25308e-07,-1.175994e-06,2.1211958142072516e-06,1.9937074910846315e-06,1.9284570659350624e-06
-0.370158,2.085115e-06,9.22245e-07,-1.162869e-06,2.096538544026384e-06,1.9498375860182766e-06,1.92923070843423e-06
-0.3690839999999999,2.02649e-06,8.88996e-07,-1.137494e-06,2.026900871539729e-06,1.9046419101570148e-06,1.9299039533944948e-06
-0.368009,1.931116e-06,8.53558e-07,-1.077557e-06,1.9085459100044024e-06,1.8602347833750487e-06,1.930489994857893e-06
-0.3669349999999999,1.811241e-06,7.94496e-07,-1.016745e-06,1.761840506459063e-06,1.8187364873624748e-06,1.9310049958499495e-06
-0.3658599999999999,1.630117e-06,7.37184e-07,-8.92933e-07,1.626802326125348e-06,1.7821265361311795e-06,1.931467176534103e-06
-0.364786,1.445055e-06,6.80746e-07,-7.64309e-07,1.5446942804227408e-06,1.7521050181518583e-06,1.93189590988732e-06
-0.363711,1.468243e-06,6.67184e-07,-8.010579999999999e-07,1.5368825603925467e-06,1.7299784387283595e-06,1.9323108571715636e-06
-0.362637,1.764867e-06,6.73747e-07,-1.09112e-06,1.5954334681265066e-06,1.7165833889076397e-06,1.9327311727076055e-06
-0.361562,1.721117e-06,7.96683e-07,-9.24433e-07,1.6905460434752994e-06,1.7122557593110631e-06,1.9331748035012366e-06
-0.360488,1.688304e-06,9.43683e-07,-7.44621e-07,1.7868232162833875e-06,1.7168462768355154e-06,1.933657904382562e-06
-0.359413,1.800304e-06,9.1612e-07,-8.84183e-07,1.8568221671308441e-06,1.7297764054200138e-06,1.9341943838163734e-06
-0.3583389999999999,1.940303e-06,9.48933e-07,-9.9137e-07,1.8875585791710396e-06,1.7501234836583031e-06,1.9347955897498114e-06
-0.3572639999999999,1.946866e-06,8.81121e-07,-1.065745e-06,1.8823022193632074e-06,1.776721194557074e-06,1.9354701390672363e-06
-0.35619,1.844491e-06,7.24496e-07,-1.119995e-06,1.8588034810234555e-06,1.8082612909199677e-06,1.936223888651479e-06
-0.3551149999999999,1.795491e-06,6.676219999999999e-07,-1.127869e-06,1.8419060395406907e-06,1.84338462508008e-06,1.9370600408808367e-06
-0.354041,1.834429e-06,6.87309e-07,-1.147119e-06,1.8512618529248986e-06,1.8807532233516e-06,1.9379793717452947e-06
-0.352967,1.904428e-06,7.50746e-07,-1.153682e-06,1.8909776523273183e-06,1.9190994362925064e-06,1.9389805657249947e-06
-0.351892,1.976616e-06,8.23371e-07,-1.153244e-06,1.948717436033996e-06,1.957252193797673e-06,1.9400606382036615e-06
-0.3508179999999999,2.006803e-06,8.73683e-07,-1.133119e-06,2.0048198913641934e-06,1.99414355768633e-06,1.9412154235595066e-06
-0.3497429999999999,2.037865e-06,9.20933e-07,-1.116932e-06,2.044317774728577e-06,2.028800947684048e-06,1.9424401052622528e-06
-0.348669,2.054053e-06,9.5637e-07,-1.097682e-06,2.0636127256951764e-06,2.0603316975914633e-06,1.9437297633707774e-06
-0.3475939999999999,2.06324e-06,9.80433e-07,-1.082807e-06,2.068911727320432e-06,2.0879070737829537e-06,1.9450799148009514e-06
-0.34652,2.07549e-06,1.00012e-06,-1.07537e-06,2.0696753244461396e-06,2.110752579856162e-06,1.9464870226042183e-06
-0.345445,2.078553e-06,1.009745e-06,-1.068807e-06,2.0724941665097587e-06,2.1281502533649273e-06,1.9479489522119324e-06
-0.344371,2.074615e-06,1.015432e-06,-1.059182e-06,2.078812393924835e-06,2.1394567364046698e-06,1.9494653550767517e-06
-0.343296,2.085553e-06,1.020682e-06,-1.06487e-06,2.086604117848215e-06,2.144138269049833e-06,1.9510379632789858e-06
-0.3422219999999999,2.091678e-06,1.02462e-06,-1.067057e-06,2.0939394153545264e-06,2.1418206378657822e-06,1.952670782348502e-06
-0.341147,2.103928e-06,1.034682e-06,-1.069245e-06,2.1018380097658415e-06,2.1323488648666817e-06,1.95437017365955e-06
-0.3400729999999999,2.121428e-06,1.029432e-06,-1.091995e-06,2.1143204223707662e-06,2.1158485045663325e-06,1.956144822159876e-06
-0.3389979999999999,2.139803e-06,1.035557e-06,-1.104245e-06,2.1348529906442766e-06,2.092778341232601e-06,1.9580055897661307e-06
-0.337924,2.155552e-06,1.03512e-06,-1.120432e-06,2.160543393489716e-06,2.0639635348475654e-06,1.959965259359213e-06
-0.336849,2.16999e-06,1.037745e-06,-1.132244e-06,2.1779021861811224e-06,2.0305992246884784e-06,1.9620381788028744e-06
-0.335775,2.14199e-06,1.018057e-06,-1.123932e-06,2.1648997991598703e-06,1.9942174197790345e-06,1.964239818633394e-06
-0.3347,2.102178e-06,9.99245e-07,-1.102932e-06,2.10137524168572e-06,1.956614538217432e-06,1.966586260862178e-06
-0.333626,2.014678e-06,9.57245e-07,-1.057432e-06,1.983728355866935e-06,1.919742697272211e-06,1.9690936395202403e-06
-0.332551,1.879491e-06,8.92058e-07,-9.87433e-07,1.8341613671189856e-06,1.8855739459971554e-06,1.9717775559719673e-06
-0.3314769999999999,1.695304e-06,8.31683e-07,-8.63621e-07,1.6953991373188787e-06,1.8559519546710336e-06,1.974652493461649e-06
-0.330402,1.513743e-06,7.80059e-07,-7.336839999999999e-07,1.6110680539154139e-06,1.8324490444298e-06,1.977731255685638e-06
-0.329328,1.534743e-06,7.70434e-07,-7.64309e-07,1.603657774850186e-06,1.8162468869922708e-06,1.9810244533201952e-06
-0.3282529999999999,1.833991e-06,7.66934e-07,-1.067057e-06,1.6651115877850193e-06,1.8080563133996248e-06,1.9845400603854727e-06
-0.327179,1.790679e-06,9.06933e-07,-8.83746e-07,1.765087001164584e-06,1.8080858435302321e-06,1.988283059209505e-06
-0.326104,1.781929e-06,1.061807e-06,-7.201209999999999e-07,1.8681514795015462e-06,1.8160609962770239e-06,1.992255188801929e-06
-0.32503,1.892616e-06,1.007995e-06,-8.84621e-07,1.947428409262061e-06,1.8312888124485419e-06,1.99645480695282e-06
-0.3239559999999999,2.025615e-06,1.053495e-06,-9.7212e-07,1.9900456763812056e-06,1.8527558456968564e-06,2.0008768716413672e-06
-0.322881,2.074615e-06,9.9487e-07,-1.079745e-06,1.997510854256393e-06,1.8792441552925882e-06,2.005513042636329e-06
-0.321807,1.956928e-06,8.36058e-07,-1.12087e-06,1.98362304637351e-06,1.9094489528422654e-06,2.010351899702874e-06
-0.3207319999999999,1.927616e-06,7.82684e-07,-1.144932e-06,1.9687365370916665e-06,1.942083337105946e-06,2.015379269748031e-06
-0.319658,1.966116e-06,8.11121e-07,-1.154994e-06,1.9702886661639616e-06,1.975959341693233e-06,2.020578651632509e-06
-0.318583,2.008115e-06,8.67121e-07,-1.140994e-06,1.9943287689387415e-06,2.010039350908261e-06,2.0259317242967244e-06
-0.317509,2.046615e-06,9.3187e-07,-1.114745e-06,2.033918858591286e-06,2.0434568260641927e-06,2.0314189213186534e-06
-0.316434,2.074615e-06,9.88308e-07,-1.086307e-06,2.075313466839476e-06,2.0755095143220143e-06,2.0370200530682577e-06
