Applied potential [V];WE current [A]
-0.22317299999999998;-7.217724e-05
-0.22417399999999998;-7.2158456e-05
-0.225175;-7.251544e-05
-0.226175;-7.277847999999999e-05
-0.227176;-7.2881816e-05
-0.228177;-7.3295176e-05
-0.229178;-7.3492456e-05
-0.230178;-7.4074912e-05
-0.231179;-7.4431904e-05
-0.23218;-7.4760704e-05
-0.233181;-7.534316e-05
-0.234182;-7.5718928e-05
-0.235182;-7.634835999999999e-05
-0.23618299999999998;-7.6846264e-05
-0.23718399999999998;-7.7240824e-05
-0.23818499999999998;-7.7870256e-05
-0.23918499999999998;-7.8339968e-05
-0.24018599999999998;-7.890364e-05
-0.24118699999999998;-7.9420328e-05
-0.242188;-7.9758528e-05
-0.243189;-8.0256432e-05
-0.244189;-8.0547664e-05
-0.24519;-8.104555999999999e-05
-0.246191;-8.1299208e-05
-0.247192;-8.1318e-05
-0.248192;-8.159044e-05
-0.249193;-8.1618624e-05
-0.25019399999999997;-8.1740744e-05
-0.251195;-8.1731352e-05
-0.252196;-8.13274e-05
-0.253196;-8.1205264e-05
-0.254197;-8.075433599999999e-05
-0.255198;-8.0538264e-05
-0.256199;-8.0030968e-05
-0.257199;-7.9316992e-05
-0.2582;-7.8762728e-05
-0.259201;-7.7842072e-05
-0.260202;-7.7240824e-05
-0.26120299999999996;-7.6367144e-05
-0.26220299999999996;-7.52868e-05
-0.263204;-7.4497664e-05
-0.26420499999999997;-7.3426696e-05
-0.265206;-7.2412104e-05
-0.266206;-7.1350536e-05
-0.267207;-7.0044712e-05
-0.268208;-6.9030112e-05
-0.269209;-6.7686712e-05
-0.27021;-6.6653328e-05
-0.27121;-6.5507212e-05
-0.272211;-6.4182596e-05
-0.273212;-6.3083452e-05
-0.274213;-6.1805816e-05
-0.275213;-6.0772428e-05
-0.276214;-5.9701468e-05
-0.277215;-5.8395639999999996e-05
-0.27821599999999996;-5.7334079999999996e-05
-0.279217;-5.6178564e-05
-0.280217;-5.514518e-05
-0.28121799999999997;-5.4158764e-05
-0.282219;-5.2946888e-05
-0.28321999999999997;-5.1960472e-05
-0.28422;-5.0917692e-05
-0.285221;-4.9912495999999996e-05
-0.286222;-4.8963656e-05
-0.287223;-4.7911484e-05
-0.288224;-4.694386e-05
-0.289224;-4.5976236e-05
-0.290225;-4.5093164e-05
-0.291226;-4.4210088e-05
-0.292227;-4.3157912e-05
-0.29322699999999996;-4.23406e-05
-0.294228;-4.1344796e-05
-0.29522899999999996;-4.04899e-05
-0.29623;-3.9728952e-05
-0.29723099999999997;-3.8723755999999996e-05
-0.29823099999999997;-3.783128e-05
-0.299232;-3.7023364e-05
-0.30023299999999997;-3.6168472e-05
-0.301234;-3.541692e-05
-0.302234;-3.4468084e-05
